day,crimedate,NUMCRIMES
6,2015-10-17,706
7,2015-10-18,676
1,2015-10-19,788
2,2015-10-20,785
3,2015-10-21,794
4,2015-10-22,773
5,2015-10-23,777
6,2015-10-24,765
7,2015-10-25,728
1,2015-10-26,781
2,2015-10-27,651
3,2015-10-28,682
4,2015-10-29,669
5,2015-10-30,776
6,2015-10-31,721
7,2015-11-01,992
1,2015-11-02,785
2,2015-11-03,749
3,2015-11-04,791
4,2015-11-05,754
5,2015-11-06,747
6,2015-11-07,691
7,2015-11-08,705
1,2015-11-09,684
2,2015-11-10,640
3,2015-11-11,686
4,2015-11-12,693
5,2015-11-13,679
6,2015-11-14,696
7,2015-11-15,722
1,2015-11-16,744
2,2015-11-17,667
3,2015-11-18,683
4,2015-11-19,696
5,2015-11-20,713
6,2015-11-21,528
7,2015-11-22,520
1,2015-11-23,650
2,2015-11-24,607
3,2015-11-25,619
4,2015-11-26,589
5,2015-11-27,613
6,2015-11-28,658
7,2015-11-29,612
1,2015-11-30,666
2,2015-12-01,793
3,2015-12-02,716
4,2015-12-03,710
5,2015-12-04,700
6,2015-12-05,707
7,2015-12-06,687
1,2015-12-07,689
2,2015-12-08,732
3,2015-12-09,685
4,2015-12-10,690
5,2015-12-11,742
6,2015-12-12,752
7,2015-12-13,650
1,2015-12-14,739
2,2015-12-15,793
3,2015-12-16,722
4,2015-12-17,727
5,2015-12-18,653
6,2015-12-19,666
7,2015-12-20,693
1,2015-12-21,649
2,2015-12-22,694
3,2015-12-23,753
4,2015-12-24,675
5,2015-12-25,498
6,2015-12-26,640
7,2015-12-27,627
1,2015-12-28,516
2,2015-12-29,624
3,2015-12-30,603
4,2015-12-31,610
5,2016-01-01,1150
6,2016-01-02,576
7,2016-01-03,618
1,2016-01-04,626
2,2016-01-05,627
3,2016-01-06,626
4,2016-01-07,706
5,2016-01-08,742
6,2016-01-09,650
7,2016-01-10,597
1,2016-01-11,513
2,2016-01-12,548
3,2016-01-13,654
4,2016-01-14,734
5,2016-01-15,733
6,2016-01-16,651
7,2016-01-17,537
1,2016-01-18,515
2,2016-01-19,610
3,2016-01-20,619
4,2016-01-21,634
5,2016-01-22,700
6,2016-01-23,721
7,2016-01-24,675
1,2016-01-25,744
2,2016-01-26,640
3,2016-01-27,669
4,2016-01-28,751
5,2016-01-29,746
6,2016-01-30,742
7,2016-01-31,665
1,2016-02-01,852
2,2016-02-02,614
3,2016-02-03,681
4,2016-02-04,670
5,2016-02-05,660
6,2016-02-06,695
7,2016-02-07,617
1,2016-02-08,570
2,2016-02-09,545
3,2016-02-10,565
4,2016-02-11,582
5,2016-02-12,646
6,2016-02-13,597
7,2016-02-14,514
1,2016-02-15,553
2,2016-02-16,625
3,2016-02-17,641
4,2016-02-18,681
5,2016-02-19,775
6,2016-02-20,702
7,2016-02-21,706
1,2016-02-22,639
2,2016-02-23,630
3,2016-02-24,578
4,2016-02-25,699
5,2016-02-26,740
6,2016-02-27,691
7,2016-02-28,623
1,2016-02-29,646
2,2016-03-01,817
3,2016-03-02,607
4,2016-03-03,616
5,2016-03-04,702
6,2016-03-05,699
7,2016-03-06,714
1,2016-03-07,794
2,2016-03-08,723
3,2016-03-09,679
4,2016-03-10,716
5,2016-03-11,733
6,2016-03-12,744
7,2016-03-13,628
1,2016-03-14,684
2,2016-03-15,713
3,2016-03-16,745
4,2016-03-17,738
5,2016-03-18,791
6,2016-03-19,699
7,2016-03-20,685
1,2016-03-21,698
2,2016-03-22,722
3,2016-03-23,686
4,2016-03-24,677
5,2016-03-25,716
6,2016-03-26,735
7,2016-03-27,631
1,2016-03-28,741
2,2016-03-29,739
3,2016-03-30,716
4,2016-03-31,754
5,2016-04-01,826
6,2016-04-02,651
7,2016-04-03,706
1,2016-04-04,660
2,2016-04-05,675
3,2016-04-06,660
4,2016-04-07,742
5,2016-04-08,626
6,2016-04-09,689
7,2016-04-10,704
1,2016-04-11,676
2,2016-04-12,701
3,2016-04-13,714
4,2016-04-14,690
5,2016-04-15,811
6,2016-04-16,734
7,2016-04-17,708
1,2016-04-18,737
2,2016-04-19,703
3,2016-04-20,689
4,2016-04-21,714
5,2016-04-22,728
6,2016-04-23,692
7,2016-04-24,755
1,2016-04-25,758
2,2016-04-26,693
3,2016-04-27,660
4,2016-04-28,731
5,2016-04-29,718
6,2016-04-30,604
7,2016-05-01,819
1,2016-05-02,756
2,2016-05-03,736
3,2016-05-04,682
4,2016-05-05,697
5,2016-05-06,794
6,2016-05-07,741
7,2016-05-08,729
1,2016-05-09,731
2,2016-05-10,712
3,2016-05-11,758
4,2016-05-12,690
5,2016-05-13,808
6,2016-05-14,723
7,2016-05-15,739
1,2016-05-16,782
2,2016-05-17,692
3,2016-05-18,800
4,2016-05-19,763
5,2016-05-20,804
6,2016-05-21,792
7,2016-05-22,750
1,2016-05-23,782
2,2016-05-24,803
3,2016-05-25,719
4,2016-05-26,765
5,2016-05-27,800
6,2016-05-28,791
7,2016-05-29,798
1,2016-05-30,820
2,2016-05-31,756
3,2016-06-01,932
4,2016-06-02,800
5,2016-06-03,822
6,2016-06-04,827
7,2016-06-05,777
1,2016-06-06,792
2,2016-06-07,754
3,2016-06-08,744
4,2016-06-09,725
5,2016-06-10,765
6,2016-06-11,815
7,2016-06-12,850
1,2016-06-13,794
2,2016-06-14,835
3,2016-06-15,789
4,2016-06-16,820
5,2016-06-17,829
6,2016-06-18,763
7,2016-06-19,811
1,2016-06-20,857
2,2016-06-21,824
3,2016-06-22,749
4,2016-06-23,801
5,2016-06-24,807
6,2016-06-25,812
7,2016-06-26,774
1,2016-06-27,771
2,2016-06-28,767
3,2016-06-29,804
4,2016-06-30,847
5,2016-07-01,959
6,2016-07-02,756
7,2016-07-03,782
1,2016-07-04,846
2,2016-07-05,895
3,2016-07-06,742
4,2016-07-07,790
5,2016-07-08,790
6,2016-07-09,729
7,2016-07-10,760
1,2016-07-11,701
2,2016-07-12,780
3,2016-07-13,726
4,2016-07-14,768
5,2016-07-15,845
6,2016-07-16,780
7,2016-07-17,789
1,2016-07-18,799
2,2016-07-19,791
3,2016-07-20,824
4,2016-07-21,784
5,2016-07-22,791
6,2016-07-23,813
7,2016-07-24,790
1,2016-07-25,827
2,2016-07-26,877
3,2016-07-27,795
4,2016-07-28,774
5,2016-07-29,801
6,2016-07-30,927
7,2016-07-31,813
1,2016-08-01,879
2,2016-08-02,791
3,2016-08-03,772
4,2016-08-04,793
5,2016-08-05,862
6,2016-08-06,828
7,2016-08-07,838
1,2016-08-08,803
2,2016-08-09,725
3,2016-08-10,722
4,2016-08-11,852
5,2016-08-12,746
6,2016-08-13,826
7,2016-08-14,842
1,2016-08-15,842
2,2016-08-16,816
3,2016-08-17,862
4,2016-08-18,767
5,2016-08-19,793
6,2016-08-20,844
